source,target,description,file_name,knowledge_base_id,workspace_id
ent-e0ad20e39895b41bf993c4e044ae3734,ent-b6111b6a101e80da31bd9fc31655164b,Guy was margrave of Tuscany,2wiki_subcorpus.txt,test_kb,test_workspace
ent-26cd1429f83099657157a24aa3e1d297,ent-177d6e16f6f3dc33b7541aa05485175f,Lambert was disowned by Hugh,2wiki_subcorpus.txt,test_kb,test_workspace
ent-302ab541bf0cd18f70579129fd2ac88f,ent-03e7d2ebec1e820ac34d054df7e68f48,Etan Boritzer born in 1950,2wiki_subcorpus.txt,test_kb,test_workspace
ent-302ab541bf0cd18f70579129fd2ac88f,ent-c6c6f067a3ead9ce67a1c67a790fa26b,Etan Boritzer is American,2wiki_subcorpus.txt,test_kb,test_workspace
ent-302ab541bf0cd18f70579129fd2ac88f,ent-e999f16a0053571050642119e9065821,Etan Boritzer is writer of children's literature,2wiki_subcorpus.txt,test_kb,test_workspace
ent-302ab541bf0cd18f70579129fd2ac88f,ent-1be396e0faed6192968c6fe120a6a1eb,Etan Boritzer best known for What is God?,2wiki_subcorpus.txt,test_kb,test_workspace
ent-1be396e0faed6192968c6fe120a6a1eb,ent-4a3e00961a08879c34f91ca0070ea2f5,What is God? published in 1989,2wiki_subcorpus.txt,test_kb,test_workspace
ent-78b0d30cf662760a3a11154a2742cbd4,ent-6f52070d5c9845119ee5204ed311d8d7,What is? is series of children's books,2wiki_subcorpus.txt,test_kb,test_workspace
ent-78b0d30cf662760a3a11154a2742cbd4,ent-e12a419d5e2435bf0e499a2c5ad877ef,What is? translated into 15 languages,2wiki_subcorpus.txt,test_kb,test_workspace
ent-302ab541bf0cd18f70579129fd2ac88f,ent-c215b446bcdf956d848a8419c1b5a920,Etan Boritzer published in 1963,2wiki_subcorpus.txt,test_kb,test_workspace
ent-302ab541bf0cd18f70579129fd2ac88f,ent-a735b3c2211d90fba7badc85ef5b79d7,Etan Boritzer attended Wade Junior High School,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a735b3c2211d90fba7badc85ef5b79d7,ent-1046ecca1bf740bddd6fb8d780795314,Wade Junior High School located in Bronx,2wiki_subcorpus.txt,test_kb,test_workspace
ent-d82ce5962d9ee04d5c1ab47161d0f0eb,ent-87809c954948d8a20507bee3648281b3,John F. Kennedy assassination location New York,2wiki_subcorpus.txt,test_kb,test_workspace
ent-302ab541bf0cd18f70579129fd2ac88f,ent-2fd205dabe5d94ca4425a61d32cd980d,"Etan Boritzer lives in Venice, California",2wiki_subcorpus.txt,test_kb,test_workspace
ent-302ab541bf0cd18f70579129fd2ac88f,ent-2fd205dabe5d94ca4425a61d32cd980d,"Etan Boritzer maintains office in Venice, California",2wiki_subcorpus.txt,test_kb,test_workspace
ent-302ab541bf0cd18f70579129fd2ac88f,ent-344aa19884bff5062a3fe29ee0fbe88e,Etan Boritzer helps authors through How to Get Your Book Published!,2wiki_subcorpus.txt,test_kb,test_workspace
ent-302ab541bf0cd18f70579129fd2ac88f,ent-cbc2625a4df639c1a6a902ac8faf89b9,Etan Boritzer is teacher of The Teachings of the Buddha,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4234ae5c15d21302e10c9ace4203463f,ent-6967e835f9f24bdbc362df2ef6942cbd,Lothair II was king of Lotharingia,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4234ae5c15d21302e10c9ace4203463f,ent-addfa9b7e234254d26e9c7f2af1005cb,Lothair II reigned from 855,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4234ae5c15d21302e10c9ace4203463f,ent-14942d3d8adf14184fa1aad07e458ff2,Lothair II second son of Emperor Lothair I,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4234ae5c15d21302e10c9ace4203463f,ent-4a24f31feb98d1b5c90d4b78f879f5a0,Lothair II second son of Ermengarde of Tours,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4234ae5c15d21302e10c9ace4203463f,ent-c730c2d5d08cdf496f12e25178c451df,Lothair II married Teutberga,2wiki_subcorpus.txt,test_kb,test_workspace
ent-c730c2d5d08cdf496f12e25178c451df,ent-810d9808cfbab82f82a537b2b1f44a88,Teutberga daughter of Boso the Elder,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4a24f31feb98d1b5c90d4b78f879f5a0,ent-29c8f1d3355d63034fd4a9cf6da50b1a,Ermengarde of Tours daughter of Hugh of Tours,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4a24f31feb98d1b5c90d4b78f879f5a0,ent-6566bd3ff91584110a82e66302b358f6,Ermengarde of Tours member of Etichonen,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4a24f31feb98d1b5c90d4b78f879f5a0,ent-47a52901a5b09dd7bd9f7e53ce5ba3ad,Ermengarde of Tours married in October 821,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4a24f31feb98d1b5c90d4b78f879f5a0,ent-923f49cd42e5359de8da80c22443dc94,Ermengarde of Tours married Lothair I,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4a24f31feb98d1b5c90d4b78f879f5a0,ent-494673d0b480f17c75e16d944349637e,Ermengarde of Tours buried in Erstein,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4a24f31feb98d1b5c90d4b78f879f5a0,ent-338080f29e7db4b93d54a475bcea9c8d,Ermengarde of Tours buried in Elsass,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-19b650660b253761af189682e03501dd,Bertha born in 863,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-a6089df889613f62db1a275ae7d0f785,Bertha died in March 925,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-3dd500594e052d4876d8bdb5785cdfc9,Bertha died in Lucca,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-5afc52417d6ede9edd6460e8ce32164a,Bertha was countess of Arles,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-ae5efd0ee477ce3485e5216e26204acd,Bertha married to Theobald of Arles,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-efb34168ce77ba22afe36bba19079f25,Bertha was margravine of Tuccany,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-c976ea27bdb99c5237691b90863514c8,Bertha married to Adalbert II of Tuscany,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-3dd500594e052d4876d8bdb5785cdfc9,Bertha served as regent of Lucca,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-b6111b6a101e80da31bd9fc31655164b,Bertha served as regent of Tuscany,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-24896ee4c6526356cc127852413ea3b4,Bertha regent from 915,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-23ce1851341ec1fa9e0c259de10bf87c,Bertha regent until 916,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-f10af6f10fda925dc78cfc9ceeb0c4e3,Bertha mother of Guy of Tuscany,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-4234ae5c15d21302e10c9ace4203463f,Bertha daughter of Lothair II,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-5586e900c7c62b58d06636aca29604a4,Bertha daughter of Waldrada,2wiki_subcorpus.txt,test_kb,test_workspace
ent-4234ae5c15d21302e10c9ace4203463f,ent-6967e835f9f24bdbc362df2ef6942cbd,Lothair II king of Lotharingia,2wiki_subcorpus.txt,test_kb,test_workspace
ent-5586e900c7c62b58d06636aca29604a4,ent-4234ae5c15d21302e10c9ace4203463f,Waldrada mistress of Lothair II,2wiki_subcorpus.txt,test_kb,test_workspace
ent-5586e900c7c62b58d06636aca29604a4,ent-4234ae5c15d21302e10c9ace4203463f,Waldrada was wife of Lothair II,2wiki_subcorpus.txt,test_kb,test_workspace
ent-5586e900c7c62b58d06636aca29604a4,ent-c5a4083462ddc84af98f0c94877dc008,Waldrada was wife of King of Lotharingia,2wiki_subcorpus.txt,test_kb,test_workspace
ent-5586e900c7c62b58d06636aca29604a4,ent-4234ae5c15d21302e10c9ace4203463f,Waldrada was mistress of Lothair II,2wiki_subcorpus.txt,test_kb,test_workspace
ent-5586e900c7c62b58d06636aca29604a4,ent-c5a4083462ddc84af98f0c94877dc008,Waldrada was mistress of King of Lotharingia,2wiki_subcorpus.txt,test_kb,test_workspace
ent-33181dfc4c9fa1866f2c08559922a358,ent-0031c41178ec3d2e15605a8962c6311e,Theobald was count of Arles,2wiki_subcorpus.txt,test_kb,test_workspace
ent-33181dfc4c9fa1866f2c08559922a358,ent-f9dc77cece7fa16f6edd2d1d64853e4b,Theobald was Frank,2wiki_subcorpus.txt,test_kb,test_workspace
ent-33181dfc4c9fa1866f2c08559922a358,ent-9981852a69072cdd289324bde16ed9bd,Theobald was from Bosonid,2wiki_subcorpus.txt,test_kb,test_workspace
ent-33181dfc4c9fa1866f2c08559922a358,ent-59889f71a656786785737cb5953ae81a,Theobald was son of Hucbert,2wiki_subcorpus.txt,test_kb,test_workspace
ent-33181dfc4c9fa1866f2c08559922a358,ent-a5e7159d79f5e5ffea6a721006fc40e8,Theobald married Bertha,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-4234ae5c15d21302e10c9ace4203463f,Bertha was daughter of Lothair II,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-c5a4083462ddc84af98f0c94877dc008,Bertha was daughter of King of Lotharingia,2wiki_subcorpus.txt,test_kb,test_workspace
ent-516015a9cb3ec250d13c2f31cefc6fb8,ent-53a577bb3bc587b0c28ab808390f1c9b,The Wonderful World of Captain Kuhio released in Japan,2wiki_subcorpus.txt,test_kb,test_workspace
ent-516015a9cb3ec250d13c2f31cefc6fb8,ent-a53991d26668daa467eb2b3ef1accb4a,The Wonderful World of Captain Kuhio released on 10 October 2009,2wiki_subcorpus.txt,test_kb,test_workspace
ent-faa4a38051301a7d9171acfbb6601763,ent-7e56e0ef7a612f6e6afa824edd0f7b61,Coney Island Baby is comedy-drama,2wiki_subcorpus.txt,test_kb,test_workspace
ent-faa4a38051301a7d9171acfbb6601763,ent-c58fe5a9adecad5fec903b9a40c53e03,Coney Island Baby debut of Amy Hobby,2wiki_subcorpus.txt,test_kb,test_workspace
ent-faa4a38051301a7d9171acfbb6601763,ent-d27bf10f1e121ebfb8f06913f4cf3db0,Coney Island Baby written by Karl Geary,2wiki_subcorpus.txt,test_kb,test_workspace
ent-5cb8d6b6c6d88582c1dd77bf6b6f6163,ent-08af6fd030dc9b84c3b20cd9da7b8feb,Lloyd is 2001 American comedy film,2wiki_subcorpus.txt,test_kb,test_workspace
ent-5cb8d6b6c6d88582c1dd77bf6b6f6163,ent-f0df03dea0d6031b635750f56dbd5744,"Lloyd released on May 4, 2001",2wiki_subcorpus.txt,test_kb,test_workspace
ent-a1ac5cdcfcd97fc8b1a5ab06e691c563,ent-582f16347b4d1b698b11f3e0abd9e895,Rakka released on 14 June 2017,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a1ac5cdcfcd97fc8b1a5ab06e691c563,ent-8dd1bae8da2e2408210d0656fbe6b7d1,Rakka released on YouTube,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a1ac5cdcfcd97fc8b1a5ab06e691c563,ent-4db4563826bad0eb2f60ee6e42d0ea4b,Rakka released on Steam,2wiki_subcorpus.txt,test_kb,test_workspace
ent-232a2772fd563eb46b16d922173446e2,ent-d5e6ff251756e95c3b9690ffaece217d,Empties is 2007 film,2wiki_subcorpus.txt,test_kb,test_workspace
ent-232a2772fd563eb46b16d922173446e2,ent-bee20684fe5bb73102138538131624c4,Empties directed by Jan Svěrák,2wiki_subcorpus.txt,test_kb,test_workspace
ent-232a2772fd563eb46b16d922173446e2,ent-5e1decd545a71e946cbced932beb709e,Empties written by Zdeněk Svěrák,2wiki_subcorpus.txt,test_kb,test_workspace
ent-232a2772fd563eb46b16d922173446e2,ent-5e1decd545a71e946cbced932beb709e,Empties stars Zdeněk Svěrák,2wiki_subcorpus.txt,test_kb,test_workspace
ent-232a2772fd563eb46b16d922173446e2,ent-51802d8bb965d0e5be697f07d16922e8,Empties released in Czech Republic,2wiki_subcorpus.txt,test_kb,test_workspace
ent-232a2772fd563eb46b16d922173446e2,ent-e6c2c945cb3d88146da5642d4344fb05,Empties released in March 2007,2wiki_subcorpus.txt,test_kb,test_workspace
ent-232a2772fd563eb46b16d922173446e2,ent-12f0a8c7b1f43f325fabfd270cf25bf3,Empties is comedy,2wiki_subcorpus.txt,test_kb,test_workspace
ent-232a2772fd563eb46b16d922173446e2,ent-ef17227670b855a11ff04d6032bda241,Empties made by team which made Kolya,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bdbd6db1d8cc09a957e86180fda9442a,ent-f106b7f99d2cb30c3db1c3cc0fde9ccb,film released in 1961,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bdbd6db1d8cc09a957e86180fda9442a,ent-53a577bb3bc587b0c28ab808390f1c9b,film released in Japan,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bdbd6db1d8cc09a957e86180fda9442a,ent-f253efe302d32ab264a76e0ce65be769,film released in United States,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bdbd6db1d8cc09a957e86180fda9442a,ent-e48d92ded59fd5038b80d6493f1fcea5,film featured on Mystery Science Theater,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bdc7a47bdf2debb490ead6d01879a97,ent-ebc71d5586cb3060d81815e0510f6c5c,Aas Ka Panchhi is 1961 Hindi movie,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bdc7a47bdf2debb490ead6d01879a97,ent-ba3948db384b8fc299da1dda616ab1d6,Aas Ka Panchhi produced by J. Om Prakash,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bdc7a47bdf2debb490ead6d01879a97,ent-3ef1d02911576e5c8c66a1d88e8499eb,Aas Ka Panchhi written by Mohan Kumar,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bdc7a47bdf2debb490ead6d01879a97,ent-b64c5757bb495b586e2899c4c4113e11,Aas Ka Panchhi written by Rajinder Singh Bedi,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bdc7a47bdf2debb490ead6d01879a97,ent-3ef1d02911576e5c8c66a1d88e8499eb,Aas Ka Panchhi directed by Mohan Kumar,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bdc7a47bdf2debb490ead6d01879a97,ent-26ee6eb9e3a91865f9d5247a8c5fe1cd,Aas Ka Panchhi stars Rajendra Kumar,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bdc7a47bdf2debb490ead6d01879a97,ent-619d7ee21ed3ab7e65d57fe8ef8ed4ec,Aas Ka Panchhi stars Vyjayanthimala,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bdc7a47bdf2debb490ead6d01879a97,ent-39b9895dd7c4faf1cabb442160563803,Aas Ka Panchhi stars Leela Chitnis,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bdc7a47bdf2debb490ead6d01879a97,ent-0f9b39b5063d38bf53c4463bdb640f6d,Aas Ka Panchhi music by Shankar Jaikishan,2wiki_subcorpus.txt,test_kb,test_workspace
ent-95a0cccfd882750969c919bece734089,ent-78385141d876915f97d66b7582883573,Bommalattam is 2008 Indian Tamil film,2wiki_subcorpus.txt,test_kb,test_workspace
ent-95a0cccfd882750969c919bece734089,ent-0be050de60a850674198172e15c722d5,Bommalattam directed by Bharathiraja,2wiki_subcorpus.txt,test_kb,test_workspace
ent-95a0cccfd882750969c919bece734089,ent-7304c67c54b8d6072bd0b652f9d56b22,Bommalattam stars Arjun Sarja,2wiki_subcorpus.txt,test_kb,test_workspace
ent-95a0cccfd882750969c919bece734089,ent-ff736b41821df9051cbc059195b4e5a4,Bommalattam stars Nana Patekar,2wiki_subcorpus.txt,test_kb,test_workspace
ent-95a0cccfd882750969c919bece734089,ent-45c3171ef193c74b402f407fba9d955b,Bommalattam originally filmed in Hindi,2wiki_subcorpus.txt,test_kb,test_workspace
ent-95a0cccfd882750969c919bece734089,ent-7e2f65f7789a5796be66cd9e74941bbb,"Bommalattam Hindi version retitled ""Final Cut of Director""",2wiki_subcorpus.txt,test_kb,test_workspace
ent-bd403665fa31723fda182afdf3114cbd,ent-da3c0f5184b6ef5bd00501bfda26538a,Bernard Bonvoisin known as Bernie Bonvoisin,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bd403665fa31723fda182afdf3114cbd,ent-b6963bca6f65fdc25f3cc0b484d4c902,Bernard Bonvoisin born on 9 July 1956,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bd403665fa31723fda182afdf3114cbd,ent-d76cfe376455b21503f980161ca618b0,Bernard Bonvoisin born in Nanterre,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bd403665fa31723fda182afdf3114cbd,ent-bc30476773be619256610de30ce57cbe,Bernard Bonvoisin born in Hauts-de-Seine,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bd403665fa31723fda182afdf3114cbd,ent-ad225f707802ba118c22987186dd38e8,Bernard Bonvoisin is French,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bd403665fa31723fda182afdf3114cbd,ent-2f81eae07126287c59c259054052ddb9,Bernard Bonvoisin singer of Trust,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bd403665fa31723fda182afdf3114cbd,ent-21f98b01ba420e031d180950e3363d0a,Bernard Bonvoisin friend of Bon Scott,2wiki_subcorpus.txt,test_kb,test_workspace
ent-bd403665fa31723fda182afdf3114cbd,ent-8b3bf125a224c9b1afc591499b52ceeb,Bernard Bonvoisin recorded Ride On,2wiki_subcorpus.txt,test_kb,test_workspace
ent-21f98b01ba420e031d180950e3363d0a,ent-2284399857f7b5e1b8ceec9c66c13f0c,Bon Scott singer of AC/DC,2wiki_subcorpus.txt,test_kb,test_workspace
ent-5e4fd4f6cec8fadead1fe532fd62ade8,ent-da5e1343247a4f1a14129614c500ce33,Panda is song by Astro,2wiki_subcorpus.txt,test_kb,test_workspace
ent-5e4fd4f6cec8fadead1fe532fd62ade8,ent-76eb66e0d462898bd199191030f814e7,"Panda released as single on February 1, 2013",2wiki_subcorpus.txt,test_kb,test_workspace
ent-905f32f3603a929415960bf645d0e4b4,ent-5e4fd4f6cec8fadead1fe532fd62ade8,Andrés Nusser composer of Panda,2wiki_subcorpus.txt,test_kb,test_workspace
ent-905f32f3603a929415960bf645d0e4b4,ent-5e4fd4f6cec8fadead1fe532fd62ade8,Andrés Nusser producer of Panda,2wiki_subcorpus.txt,test_kb,test_workspace
ent-68035240c9d54b66f7712f2f6b189e4d,ent-206852b9306afa2b3c5dc232aab226f1,Changed It is song by Nicki Minaj,2wiki_subcorpus.txt,test_kb,test_workspace
ent-68035240c9d54b66f7712f2f6b189e4d,ent-62ecce73e8f5b427fd4516b20f18da6e,Changed It is song by Lil Wayne,2wiki_subcorpus.txt,test_kb,test_workspace
ent-68035240c9d54b66f7712f2f6b189e4d,ent-d873af3e4f47e56b2478aa268cea0512,"Changed It released on March 10, 2017",2wiki_subcorpus.txt,test_kb,test_workspace
ent-ab89f8aa301e3ea18a6fdfdecb5f1f69,ent-a8e2be2af6866a1e85e2d67612b53fc8,O Valencia! is fifth single by The Decemberists,2wiki_subcorpus.txt,test_kb,test_workspace
ent-ab89f8aa301e3ea18a6fdfdecb5f1f69,ent-1f02727f8ec3a736bba4ebb76c0e83b8,O Valencia! released from The Crane Wife,2wiki_subcorpus.txt,test_kb,test_workspace
ent-ab89f8aa301e3ea18a6fdfdecb5f1f69,ent-c72f94c02cc6a54a4728a32b4e0ca2c2,O Valencia! tells a story of star-crossed lovers,2wiki_subcorpus.txt,test_kb,test_workspace
ent-49b2e0cf5b002a93f81322fa86316928,ent-ab89f8aa301e3ea18a6fdfdecb5f1f69,The Decemberists wrote music for O Valencia!,2wiki_subcorpus.txt,test_kb,test_workspace
ent-2fb4b9a1bfb2448fa98242b96172ee36,ent-ab89f8aa301e3ea18a6fdfdecb5f1f69,Colin Meloy wrote lyrics for O Valencia!,2wiki_subcorpus.txt,test_kb,test_workspace
ent-49b2e0cf5b002a93f81322fa86316928,ent-1f02727f8ec3a736bba4ebb76c0e83b8,The Decemberists released The Crane Wife,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-792eb36394edd0b194e86caf1de44c5e,Nicki Minaj is known as Onika Tanya Maraj-Petty,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-592c560bb74906536dd23352df470222,"Nicki Minaj born on December 8, 1982",2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-63965a52775c39cd64c3ef0248d585b1,Nicki Minaj born in Trinidad and Tobago,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-5a8d2cb1632ba8b8925b819762d9a710,Nicki Minaj gained recognition after releasing Playtime Is Over,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-7bd6b6378be290539869cf99b3f9ac95,Nicki Minaj released Pink Friday,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bd6b6378be290539869cf99b3f9ac95,ent-cf9f62d4906d63087d71916c1c94c058,Pink Friday peaked at number one on Billboard,2wiki_subcorpus.txt,test_kb,test_workspace
ent-7bd6b6378be290539869cf99b3f9ac95,ent-1912b5a5489be9ec41154782d17ee8d4,Pink Friday certified Recording Industry Association of America,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-253614bbac999b38b5b60cae531c4969,Nicki Minaj album released in 2012,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-fcb017c95f9014b31822876741cf7a48,Nicki Minaj was a judge on American Idol,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-3570f61dfe8aff068eec24d13635edff,Nicki Minaj album released in The Pinkprint,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-2c2d2c0291163b077a372c2a9c5a6eda,Nicki Minaj album released in Queen,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-b49882eae96bb41a7fa1feb6aa7acc18,Nicki Minaj included on MTV,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-e31973e65df9e631e732ad8593aabb04,Nicki Minaj influential on Time 100,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-05a4346784bb1fb7fe52229fd996cb7c,Nicki Minaj song released in Super Bass,2wiki_subcorpus.txt,test_kb,test_workspace
ent-206852b9306afa2b3c5dc232aab226f1,ent-63d836299c30df17f7fa7dbe7a1f5777,Nicki Minaj song released in Starships,2wiki_subcorpus.txt,test_kb,test_workspace
ent-50cc4d98152be05e52d06de830c3aa21,ent-2e83386ece2708413e752eee9adec6da,Caspar Babypants is stage name of Chris Ballew,2wiki_subcorpus.txt,test_kb,test_workspace
ent-2e83386ece2708413e752eee9adec6da,ent-19d35a51fa3798eef82bcfb9aa163db9,Chris Ballew is singer of The Presidents of the United States of America,2wiki_subcorpus.txt,test_kb,test_workspace
ent-051f57947999c6515c340b431598e8e1,ent-5e26c695066f2ae61c6d5f7611d7e09e,Kristian Leontiou born in February 1982,2wiki_subcorpus.txt,test_kb,test_workspace
ent-051f57947999c6515c340b431598e8e1,ent-c7f5e66fcef854dec7a09e5928c9db08,Kristian Leontiou is British,2wiki_subcorpus.txt,test_kb,test_workspace
ent-051f57947999c6515c340b431598e8e1,ent-0b71927df1f0f498668c080e99b4332d,Kristian Leontiou is singer for One eskimO,2wiki_subcorpus.txt,test_kb,test_workspace
ent-dd3cdc2cee32d92dac40153941121952,ent-ca7c0a30df5f4620936cc85c8c62325c,Jim Bob is stage name of James Robert Morrison,2wiki_subcorpus.txt,test_kb,test_workspace
ent-ca7c0a30df5f4620936cc85c8c62325c,ent-c7f5e66fcef854dec7a09e5928c9db08,James Robert Morrison is British,2wiki_subcorpus.txt,test_kb,test_workspace
ent-ca7c0a30df5f4620936cc85c8c62325c,ent-a8ccc0108fdc321697df938a9e3f2305,James Robert Morrison was singer of Carter the Unstoppable Sex Machine,2wiki_subcorpus.txt,test_kb,test_workspace
ent-f035b69e471531db3fc6b5bda282305a,ent-19057cd7a4f566c345bb8893bc95723d,Astrid North is stage name of Astrid Karina North Radmann,2wiki_subcorpus.txt,test_kb,test_workspace
